date, cases
2020-01-22,555
2020-01-23,99
2020-01-24,287
2020-01-25,493
2020-01-26,684
2020-01-27,809
2020-01-28,2651
2020-01-29,589
2020-01-30,2068
2020-01-31,1692
2020-02-01,2111
2020-02-02,4749
2020-02-03,3100
2020-02-04,4011
2020-02-05,3745
2020-02-06,3160
2020-02-07,3593
2020-02-08,2734
2020-02-09,3030
2020-02-10,2609
2020-02-11,2042
2020-02-12,418
2020-02-13,15153
2020-02-14,6527
2020-02-15,2142
2020-02-16,2184
2020-02-17,2035
2020-02-18,1882
2020-02-19,500
2020-02-20,560
2020-02-21,629
2020-02-22,1761
2020-02-23,380
2020-02-24,564
2020-02-25,853
2020-02-26,977
2020-02-27,1360
2020-02-28,1385
2020-02-29,1893
2020-03-01,2383
2020-03-02,1978
2020-03-03,2584
2020-03-04,2317
2020-03-05,2764
2020-03-06,4000
2020-03-07,4062
2020-03-08,3960
2020-03-09,3963
2020-03-10,5011
2020-03-11,7681
2020-03-12,5789
2020-03-13,14381
2020-03-14,11078
2020-03-15,11293
2020-03-16,14744
2020-03-17,15931
2020-03-18,19533
2020-03-19,27156
2020-03-20,30635
2020-03-21,31969
2020-03-22,34261
2020-03-23,43379
2020-03-24,41507
2020-03-25,51025
2020-03-26,62673
2020-03-27,65031
2020-03-28,67392
2020-03-29,59347
2020-03-30,65310
2020-03-31,76777
2020-04-01,76590
2020-04-02,81329
2020-04-03,83226
2020-04-04,80371
2020-04-05,71989
2020-04-06,73221
2020-04-07,77752
2020-04-08,84210
2020-04-09,86414
2020-04-10,87489
2020-04-11,76166
2020-04-12,95321
2020-04-13,70163
2020-04-14,71319
2020-04-15,82030
2020-04-16,96799
2020-04-17,87676
2020-04-18,73470
2020-04-19,79980
2020-04-20,74501
2020-04-21,75901
2020-04-22,78036
2020-04-23,87996
2020-04-24,84372
2020-04-25,83452
2020-04-26,71935
2020-04-27,69718
2020-04-28,75479
2020-04-29,77455
2020-04-30,83386
2020-05-01,87237
2020-05-02,79982
2020-05-03,76514
2020-05-04,77080
2020-05-05,80479
2020-05-06,89900
2020-05-07,89021
2020-05-08,91147
2020-05-09,84914
2020-05-10,75230
2020-05-11,76897
2020-05-12,84262
2020-05-13,84844
2020-05-14,96616
2020-05-15,96385
2020-05-16,94225
2020-05-17,77625
2020-05-18,88706
2020-05-19,97244
2020-05-20,102368
2020-05-21,106805
2020-05-22,105965
2020-05-23,104593
2020-05-24,94398
2020-05-25,86425
2020-05-26,93239
2020-05-27,103003
2020-05-28,119502
2020-05-29,120946
2020-05-30,136990
2020-05-31,106521
2020-06-01,95158
2020-06-02,121457
2020-06-03,118203
2020-06-04,126932
2020-06-05,131083
2020-06-06,134461
2020-06-07,111845
2020-06-08,102495
2020-06-09,124750
2020-06-10,134700
2020-06-11,138027
2020-06-12,128647
2020-06-13,135464
2020-06-14,132404
2020-06-15,119349
2020-06-16,141798
2020-06-17,143152
2020-06-18,140078
2020-06-19,179570
2020-06-20,156989
2020-06-21,128207
2020-06-22,138127
2020-06-23,165812
2020-06-24,170937
2020-06-25,178180
2020-06-26,191469
2020-06-27,177586
2020-06-28,162950
2020-06-29,155601
2020-06-30,174074
2020-07-01,217412
2020-07-02,208614
2020-07-03,202015
2020-07-04,193720
2020-07-05,182593
2020-07-06,165161
2020-07-07,211573
2020-07-08,212964
2020-07-09,227407
2020-07-10,232457
2020-07-11,216287
2020-07-12,192829
2020-07-13,191630
2020-07-14,221789
2020-07-15,231234
2020-07-16,252408
2020-07-17,241916
2020-07-18,236606
2020-07-19,213626
2020-07-20,206203
2020-07-21,233428
2020-07-22,281451
2020-07-23,282538
2020-07-24,280681
2020-07-25,254619
2020-07-26,213233
2020-07-27,225660
2020-07-28,252437
2020-07-29,290218
2020-07-30,280200
2020-07-31,291081
2020-08-01,250590
2020-08-02,227386
2020-08-03,201259
2020-08-04,258489
2020-08-05,273071
2020-08-06,284718
2020-08-07,281060
2020-08-08,258194
2020-08-09,223873
2020-08-10,226307
2020-08-11,255115
2020-08-12,277865
2020-08-13,285961
2020-08-14,304628
2020-08-15,247215
2020-08-16,211824
2020-08-17,210629
2020-08-18,256053
2020-08-19,274630
2020-08-20,267339
2020-08-21,269890
2020-08-22,264735
2020-08-23,205656
2020-08-24,225041
2020-08-25,243737
2020-08-26,289429
2020-08-27,278493
2020-08-28,282396
2020-08-29,260324
2020-08-30,225822
2020-08-31,263220
2020-09-01,263446
2020-09-02,283161
2020-09-03,280799
2020-09-04,312861
2020-09-05,262381
2020-09-06,222506
2020-09-07,233288
2020-09-08,241569
2020-09-09,284726
2020-09-10,299001
2020-09-11,319825
2020-09-12,277197
2020-09-13,235805
2020-09-14,279672
2020-09-15,284058
2020-09-16,304834
2020-09-17,313969
2020-09-18,323506
2020-09-19,279567
2020-09-20,243027
2020-09-21,298455
2020-09-22,279768
2020-09-23,267222
2020-09-24,362597
2020-09-25,327867
2020-09-26,276909
2020-09-27,241115
2020-09-28,276024
2020-09-29,284734
2020-09-30,326814
2020-10-01,317923
2020-10-02,295365
2020-10-03,318632
2020-10-04,248465
2020-10-05,329391
2020-10-06,325352
2020-10-07,349554
2020-10-08,361608
2020-10-09,359446
2020-10-10,330252
2020-10-11,269696
2020-10-12,325261
2020-10-13,328862
2020-10-14,380595
2020-10-15,407408
2020-10-16,410630
2020-10-17,341044
2020-10-18,285895
2020-10-19,448509
2020-10-20,388671
2020-10-21,444042
2020-10-22,472322
2020-10-23,495209
2020-10-24,411744
2020-10-25,353292
2020-10-26,537647
2020-10-27,469316
2020-10-28,509361
2020-10-29,550753
2020-10-30,569957
2020-10-31,476377
2020-11-01,433241
2020-11-02,508461
2020-11-03,515105
2020-11-04,597554
2020-11-05,593715
2020-11-06,641953
2020-11-07,511106
2020-11-08,564949
2020-11-09,501801
2020-11-10,555935
2020-11-11,644986
2020-11-12,647297
2020-11-13,648785
2020-11-14,593975
2020-11-15,473006
2020-11-16,528449
