Name,City,Country,Domes,OperationalCentre,TectonicPlate
ACOR00ESP,A Coruna,ESP,13434M001,IGE,EURASIAN
ADAR00GBR,Aberdaron,GBR,19161M001,OS,EURASIAN
AJAC00FRA,Ajaccio,FRA,10077M005,IGN_RGP,EURASIAN
ALAC00ESP,Alicante,ESP,13433M001,IGE,EURASIAN
ALBA00ESP,Albacete,ESP,13452M001,IGE,EURASIAN
ALME00ESP,Almeria,ESP,13437M001,IGE,EURASIAN
ANK200TUR,Ankara,TUR,20818M001,GCM,EURASIAN
ANKR00TUR,Ankara,TUR,20805M002,GCM,EURASIAN
AQUI00ITA,L'Aquila,ITA,12757M001,ASI,EURASIAN
ARA200SVN,Areh,SVN,14503M002,GIS,EURASIAN
ARGI00FRO,"Argir, Torshavn",FRO,10117M002,SDFE,EURASIAN
ARIS00GBR,Arisaig,GBR,19190M001,OS,EURASIAN
ARJ600SWE,Arjeplog,SWE,10428M002,LMV,EURASIAN
AUBG00DEU,Augsburg,DEU,10913M001,BKG,EURASIAN
AUT100GRC,Thessaloniki,GRC,12619M002,DGS,EURASIAN
AUTN00FRA,Autun,FRA,10080M001,IGN_RGP,EURASIAN
AXPV00FRA,Aix En Provence,FRA,10057M001,IGN_RGP,EURASIAN
BACA00ROU,Bacau,ROU,11405M001,NACLR,EURASIAN
BADH00DEU,Bad Homburg,DEU,14288M001,BKG,EURASIAN
BAIA00ROU,Baia Mare,ROU,11406M001,NACLR,EURASIAN
BAUT00DEU,Bautzen,DEU,14102M001,BKG,EURASIAN
BBYS00SVK,Banska Bystrica,SVK,11514M001,GKU,EURASIAN
BCLN00ESP,Sant Vicenc dels Horts,ESP,13412M001,IGE,EURASIAN
BELL00ESP,Bellmunt de Segarra,ESP,13431M001,ICGC,EURASIAN
BME100HUN,Budapest,HUN,11209M002,BMEDGS,EURASIAN
BOGE00POL,Borowa Gora,POL,12207M004,IGIK,EURASIAN
BOGI00POL,Borowa Gora,POL,12207M003,IGIK,EURASIAN
BOGO00POL,Borowa Gora,POL,12207M002,IGIK,EURASIAN
BOLG00ITA,Bologna,ITA,12771M001,UNIBO,EURASIAN
BOR100POL,Borowiec,POL,12205M002,SRCPAS,EURASIAN
BORJ00DEU,Borkum (Island of Borkum),DEU,14268M002,BKG,EURASIAN
BORR00ESP,Borriana,ESP,13480M001,ICV,EURASIAN
BPDL00POL,Biala Podlaska,POL,12223M001,ASGEUPOS,EURASIAN
BRMF00FRA,Bron,FRA,19686M002,IGN_RGP,EURASIAN
BRMG00DEU,Bremgarten,DEU,10918M001,BKG,EURASIAN
BRST00FRA,Brest,FRA,10004M004,IGN_RGP,EURASIAN
BRTS00BLR,Brest,BLR,14804M001,BYGEO,EURASIAN
BRUX00BEL,Brussels,BEL,13101M010,ROB,EURASIAN
BSCN00FRA,Besançon,FRA,10028M007,IGN_RGP,EURASIAN
BUCU00ROU,Bucuresti,ROU,11401M001,BKG,EURASIAN
BUDD00DNK,Copenhagen,DNK,10101S001,SDFE,EURASIAN
BUDP00DNK,Kobenhavn,DNK,10101M003,SDFE,EURASIAN
BUTE00HUN,Budapest,HUN,11209M001,BMEDGS,EURASIAN
BYDG00POL,Bydgoszcz,POL,12224M001,ASGEUPOS,EURASIAN
BZR200ITA,Bolzano Bozen,ITA,12751M003,STPOS,EURASIAN
CACE00ESP,Caceres,ESP,13447M001,IGE,EURASIAN
CAG100ITA,Cagliari,ITA,12702M002,DICAAR,EURASIAN
CAKO00HRV,Cakovec,HRV,11906M001,SGA,EURASIAN
CANT00ESP,Santander,ESP,13438M001,IGE,EURASIAN
CARG00ESP,Cartagena,ESP,19412M001,IGE,EURASIAN
CASC00PRT,Cascais,PRT,13909S001,DGT,EURASIAN
CASE00ESP,Cassa de la Selva,ESP,13494M001,ICGC,EURASIAN
CEBR00ESP,Cebreros,ESP,13408M001,ESOC,EURASIAN
CEU100ESP,Ceuta,ESP,13449M002,IGE,AFRICAN
CFRM00CZE,Frydek Mistek,CZE,11525M001,ZU,EURASIAN
CHIO00GBR,Chilbolton,GBR,19194M001,OS,EURASIAN
CHIZ00FRA,Chize,FRA,10020M001,LIENSS,EURASIAN
CLIB00CZE,Liberec,CZE,11526M001,ZU,EURASIAN
CNIV00UKR,Chernihiv,UKR,15501M001,MAO,EURASIAN
COBA00ESP,Cordoba,ESP,13453M001,IGE,EURASIAN
COMO00ITA,Como,ITA,12761M001,DICA,EURASIAN
COST00ROU,Constanta,ROU,11407M001,NACLR,EURASIAN
CPAR00CZE,Pardubice,CZE,11527M001,ZU,EURASIAN
CRAK00CZE,Rakovnik,CZE,11528M001,ZU,EURASIAN
CREU00ESP,Cadaques,ESP,13432M001,ICGC,EURASIAN
CTAB00CZE,Tabor,CZE,11529M001,ZU,EURASIAN
DARE00GBR,Daresbury,GBR,13208S001,OS,EURASIAN
DELF00NLD,Delft,NLD,13502M004,DUT,EURASIAN
DENT00BEL,Dentergem,BEL,13112M001,ROB,EURASIAN
DEVA00ROU,Deva,ROU,11408M001,NACLR,EURASIAN
DGOR00MNE,Podgorica,MNE,12001M001,FIST,EURASIAN
DIEP00DEU,Diepholz,DEU,14287M001,BKG,EURASIAN
DILL00DEU,Dillingen,DEU,14286M001,BKG,EURASIAN
DLF100NLD,Delft,NLD,13502M009,DUT,EURASIAN
DNMU00UKR,Dnipro,UKR,12369M001,MAO,EURASIAN
DOUR00BEL,Dourbes,BEL,13113M001,ROB,EURASIAN
DRAG00ISR,Metzoki dragot,ISR,20710S001,SOI,AFRICAN
DUB200HRV,Dubrovnik,HRV,11901M002,SGA,EURASIAN
DUTH00GRC,Xanthi,GRC,12621M001,DGS,EURASIAN
DVCN00SVK,Devicany,SVK,11709M001,GKU,EURASIAN
DYNG00GRC,DIONYSOS,GRC,12602M006,CNES,EURASIAN
EBRE00ESP,Roquetes,ESP,13410M001,ICGC,EURASIAN
EGLT00FRA,Egletons,FRA,10032M001,IGN_RGP,EURASIAN
EIJS00NLD,Eijsden,NLD,13533M001,DUT,EURASIAN
ELBA00ITA,San Piero Campo Nell'Elba - Elba,ITA,12721M002,ASI,EURASIAN
ENAO00PRT,Santa Cruz da Graciosa,PRT,31902M005,GFZ,EURASIAN
ENTZ00FRA,Entzheim,FRA,10014M002,IGN_RGP,EURASIAN
ESCO00ESP,Naut Aran,ESP,13435M001,ICGC,EURASIAN
EUSK00DEU,Euskirchen,DEU,14258M003,BKG,EURASIAN
FFMJ00DEU,Frankfurt / Main,DEU,14279M001,BKG,EURASIAN
FINS00FIN,Finstrom,FIN,10523M001,FGI,EURASIAN
FLRS00PRT,Santa Cruz das Flores,PRT,31907M001,DGT,NORTH AMERICAN
FRA200UKR,Ivano-Frankivsk,UKR,15538M002,NULP,EURASIAN
FUNC00PRT,Funchal,PRT,13911S001,DGT,AFRICAN
GAIA00PRT,Gaia,PRT,13902M001,DGT,EURASIAN
GANP00SVK,Ganovce - Poprad,SVK,11515M001,GKU,EURASIAN
GARI00ITA,Porto Garibaldi,ITA,19517M001,ENDIF,EURASIAN
GDRS00UKR,Gorodok,UKR,15595M001,MAO,EURASIAN
GELL00DEU,Gellin,DEU,10908M001,BKG,EURASIAN
GENO00ITA,Genova,ITA,12712M002,ASI,EURASIAN
GLSV00UKR,Kiev,UKR,12356M001,MAO,EURASIAN
GOET00DEU,Goettingen,DEU,10906M001,BKG,EURASIAN
GOML00BLR,Gomel,BLR,14803M001,BYGEO,EURASIAN
GOP600CZE,Ondrejov,CZE,11502M006,GOP,EURASIAN
GOPE00CZE,Ondrejov,CZE,11502M002,GOP,EURASIAN
GOR200DEU,Gorleben,DEU,14115M002,BKG,EURASIAN
GRAC00FRA,Caussols,FRA,10002M010,IGN_RGP,EURASIAN
GRAS00FRA,Caussols,FRA,10002M006,CNES,EURASIAN
GRAZ00AUT,Graz,AUT,11001M002,BEV,EURASIAN
GSR100SVN,Ljubljana,SVN,14501M001,GIS,EURASIAN
GUIP00FRA,Guipavas,FRA,10004M501,IGN_RGP,EURASIAN
GWWL00POL,Gorzow Wielkopolski,POL,12225M001,ASGEUPOS,EURASIAN
HAS600SWE,Hassleholm,SWE,10429M002,LMV,EURASIAN
HEL200DEU,Helgoland Island,DEU,14264M002,BKG,EURASIAN
HELG00DEU,Helgoland Island,DEU,14264M001,BKG,EURASIAN
HERS00GBR,Hailsham,GBR,13212M007,NSGF,EURASIAN
HERT00GBR,Hailsham,GBR,13212M010,NSGF,EURASIAN
HETT00FIN,Hetta,FIN,10524M001,FGI,EURASIAN
HOBU00DEU,"Hohenbuenstorf, Eschenberg",DEU,14202M003,BKG,EURASIAN
HOFJ00DEU,Hof,DEU,14289M001,BKG,EURASIAN
HOFN00ISL,Hoefn,ISL,10204M002,BKG,EURASIAN
HUEL00ESP,Huelva,ESP,13451M001,IGE,EURASIAN
IBIZ00ESP,Ibiza,ESP,13454S001,IGE,EURASIAN
IENG00ITA,Torino,ITA,12724S001,INRIM,EURASIAN
IGEO00MDA,Chisinau,MDA,15101M001,INGEOCAD,EURASIAN
IGM200ITA,Firenze,ITA,12701M005,IGMI,EURASIAN
IGMI00ITA,Firenze,ITA,12701M003,IGMI,EURASIAN
IGNF00FRA,Saint-Mande,FRA,10001M009,IGN_RGP,EURASIAN
IJMU00NLD,Ijmuiden,NLD,13537M001,DUT,EURASIAN
ILDX00FRA,Ile d'Aix,FRA,19724M001,IGN_RGP,EURASIAN
INVR00GBR,Inverness,GBR,13221M001,OS,EURASIAN
IRBE00LVA,Irbene,LVA,10726M001,LGIA,EURASIAN
ISTA00TUR,Istanbul,TUR,20807M001,BKG,EURASIAN
IZAN00ESP,Guimar,ESP,31309M002,IGE,AFRICAN
IZMI00TUR,izmir,TUR,20817M001,GCM,EURASIAN
IZRS00UKR,Izmail,UKR,18115M002,MAO,EURASIAN
JOE200FIN,Joensuu,FIN,10512M002,FGI,EURASIAN
JOEN00FIN,Joensuu,FIN,10512M001,FGI,EURASIAN
JON600SWE,Jonkoping,SWE,10430M002,LMV,EURASIAN
JOZ200POL,Jozefoslaw,POL,12204M002,WUT,EURASIAN
JOZE00POL,Jozefoslaw,POL,12204M001,WUT,EURASIAN
KAD600SWE,Karlstad,SWE,10431M002,LMV,EURASIAN
KARL00DEU,Karlsruhe,DEU,14216M001,BKG,EURASIAN
KATO00POL,Katowice,POL,12219S001,ASGEUPOS,EURASIAN
KDA200SVN,Korada,SVN,14504M002,GIS,EURASIAN
KEV200FIN,Utsjoki,FIN,10515M002,FGI,EURASIAN
KILP00FIN,Kilpisjarvi,FIN,10525M001,FGI,EURASIAN
KIR000SWE,Kiruna,SWE,10422M001,LMV,EURASIAN
KIR800SWE,Kiruna,SWE,10422M002,LMV,EURASIAN
KIRU00SWE,Kiruna,SWE,10403M002,ESOC,EURASIAN
KIV200FIN,Aanekoski,FIN,10516M002,FGI,EURASIAN
KLNK00BLR,Kalinkovichi,BLR,14810M001,BYGEO,EURASIAN
KLOP00DEU,Kloppenheim / Frankfurt,DEU,14214M002,BKG,EURASIAN
KNJA00SRB,Knjazevac,SRB,12113M001,RGZ,EURASIAN
KOS100NLD,Kootwijk,NLD,13504M005,DUT,EURASIAN
KRA100POL,Krakow,POL,12218M002,AGH,EURASIAN
KRAW00POL,Krakow,POL,12218M001,AGH,EURASIAN
KRRS00UKR,Kropyvnytsky,UKR,15597M001,MAO,EURASIAN
KRS100TUR,Kars,TUR,20816M001,GCM,EURASIAN
KTVL00UKR,"Katzively, Greater Yalta",UKR,12337M003,MAO,EURASIAN
KUNZ00CZE,Kunzak,CZE,11524M001,GOP,EURASIAN
KURE00EST,Kuressaare,EST,10604S001,ELB,EURASIAN
KUU200FIN,Kuusamo,FIN,10517M002,FGI,EURASIAN
LAGO00PRT,Lagos,PRT,13903M001,DGT,EURASIAN
LAMA00POL,Olsztyn,POL,12209M001,UWM,EURASIAN
LAMP00ITA,Lampedusa,ITA,12706M002,ASI,AFRICAN
LARM00GRC,Larisa,GRC,12610M002,DGS,EURASIAN
