"Name","City","Country","Domes","Status","EPN Inclusion","Station Log","OperationalCentre","TectonicPlate","Latitude","Longitude","Elevation","X","Y","Z","IGS","ITRF2014","IGS14"
"ACOR00ESP","A Coruna","Spain","13434M001","A","1999-09-05","acor00esp_20191202.log","IGE","EURASIAN","43.3644","-8.3989","67.0","4594489.94","-678368.07","4357065.90","","ITRF2014",""
"ADAR00GBR","Aberdaron","United Kingdom","19161M001","A","2017-02-12","adar00gbr_20200224.log","OS","EURASIAN","52.7892","-4.7413","148.4","3852250.00","-319511.00","5056510.00","","",""
"AJAC00FRA","Ajaccio","France","10077M005","A","2000-02-20","ajac00fra_20200123.log","IGN_RGP","EURASIAN","41.9275","8.7626","98.8","4696990.00","723994.00","4239678.00","IGS","ITRF2014","IGS14"
"ALAC00ESP","Alicante","Spain","13433M001","A","1999-09-05","alac00esp_20200326.log","IGE","EURASIAN","38.3389","-0.4812","60.3","5009051.41","-42072.47","3935057.48","","ITRF2014",""
"ALBA00ESP","Albacete","Spain","13452M001","A","2007-09-09","alba00esp_20200326.log","IGE","EURASIAN","38.9779","-1.8564","751.7","4962848.20","-160854.40","3990884.20","","",""
"ALME00ESP","Almeria","Spain","13437M001","A","2001-01-21","alme00esp_20180612.log","IGE","EURASIAN","36.8525","-2.4595","127.5","5105220.29","-219278.78","3804386.86","","ITRF2014",""
"AQUI00ITA","L'Aquila","Italy","12757M001","A","2001-10-14","aqui00ita_20180725.log","ASI","EURASIAN","42.3682","13.3502","713.0","4592507.54","1089876.36","4276392.90","","",""
"ARGI00FRO","Argir, Torshavn","Faroe Islands","10117M002","A","2011-02-27","argi00fro_20170419.log","SDFE","EURASIAN","61.9974","-6.7835","110.2","2981489.90","-354651.39","5608474.89","","ITRF2014",""
"ARIS00GBR","Arisaig","United Kingdom","19190M001","A","2017-02-12","aris00gbr_20190902.log","OS","EURASIAN","56.9096","-5.8494","59.2","3472288.00","-355730.00","5320459.00","","",""
"ARJ600SWE","Arjeplog","Sweden","10428M002","A","2014-06-22","arj600swe_20191105.log","LMV","EURASIAN","66.3180","18.1250","489.7","2441772.83","799272.22","5818730.25","","",""
"AUBG00DEU","Augsburg","Germany","10913M001","A","2016-08-14","aubg00deu_20181128.log","BKG","EURASIAN","48.4213","10.9213","508.7","4164313.50","803525.40","4748474.60","","",""
"AUT100GRC","Thessaloniki","Greece","12619M002","A","2005-04-24","aut100grc_20180416.log","DGS","EURASIAN","40.5668","23.0037","150.0","4466283.50","1896166.75","4126096.68","","ITRF2014",""
"AUTN00FRA","Autun","France","10080M001","A","2005-07-03","autn00fra_20190313.log","IGN_RGP","EURASIAN","46.9538","4.2890","352.9","4349466.00","326196.00","4638521.00","","",""
"AXPV00FRA","Aix En Provence","France","10057M001","A","2010-03-28","axpv00fra_20190313.log","IGN_RGP","EURASIAN","43.4912","5.3332","229.0","4614667.00","430786.00","4367411.00","","",""
"BACA00ROU","Bacau","Romania","11405M001","A","2006-02-12","baca00rou_20200323.log","NACLR","EURASIAN","46.5621","26.9122","219.3","3917525.40","1988523.90","4608585.50","","",""
"BADH00DEU","Bad Homburg","Germany","14288M001","A","2006-05-07","badh00deu_20191029.log","FSW","EURASIAN","50.2280","8.6099","261.3","4042497.93","612081.42","4879251.04","","",""
"BAIA00ROU","Baia Mare","Romania","11406M001","A","2006-02-12","baia00rou_20200323.log","NACLR","EURASIAN","47.6518","23.5577","271.0","3945840.20","1720428.10","4691082.60","","",""
"BAUT00DEU","Bautzen","Germany","14102M001","A","2019-05-05","baut00deu_20200312.log","BKG","EURASIAN","51.1923","14.5217","211.8","3877545.55","1004370.90","4947148.05","","",""
"BBYS00SVK","Banska Bystrica","Slovak Republic","11514M001","A","2007-02-04","bbys00svk_20200117.log","GKU","EURASIAN","48.7518","19.1510","487.4","3980358.80","1382292.10","4772772.00","","",""
"BCLN00ESP","Sant Vicenc dels Horts","Spain","13412M001","A","2015-08-02","bcln00esp_20200326.log","IGE","EURASIAN","41.4054","2.0042","84.7","4788065.00","167551.00","4196355.00","","",""
"BELL00ESP","Bellmunt de Segarra","Spain","13431M001","A","1999-01-31","bell00esp_20190405.log","ICGC","EURASIAN","41.5996","1.4011","852.5","4775849.00","116814.00","4213018.00","","ITRF2014",""
"BISK00CZE","Zlate Hory","Czech Republic","11520M001","A","2005-04-24","bisk00cze_20200219.log","IRSM","EURASIAN","50.2567","17.4286","950.9","3898946.10","1223993.20","4881826.40","","",""
"BOGE00POL","Borowa Gora","Poland","12207M004","A","2019-05-05","boge00pol_20190319.log","IGIK","EURASIAN","52.4752","21.0350","142.3","3633803.40","1397432.40","5035298.60","","",""
"BOGI00POL","Borowa Gora","Poland","12207M003","A","2002-09-22","bogi00pol_20190227.log","IGIK","EURASIAN","52.4750","21.0352","139.9","3633815.70","1397453.90","5035280.80","IGS","",""
"BOGO00POL","Borowa Gora","Poland","12207M002","A","1996-06-30","bogo00pol_20180123.log","IGIK","EURASIAN","52.4759","21.0353","149.6","3633739.30","1397433.90","5035353.30","","ITRF2014",""
