#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName,ReceiverSatelliteSystem,ReceiverDateInstalled,AntennaName,AntennaRadome,AntennaSerialNumber,AntennaARP,AntennaMarkerUp,AntennaMarkerNorth,AntennaMarkerEast,AntennaDateInstalled,ClockType
ABMF00GLP,2919786,-5383745,1774604,16.262,-61.528,-25.268,SEPT POLARX5,GPS+GLO+GAL+BDS+SBAS,2020-02-07T10:00Z,TRM57971.00,NONE,1441112501,BAM,0,0,0,2012-01-24T12:00Z,INTERNAL
ABPO00MDG,4097216.6805,4429119.0287,-2065771.3676,-19.018,47.229,1553.398,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,2021-01-29T21:25Z,ASH701945G_M,SCIT,CR6200342009,BPA,0.0083,0,0,2018-05-15T07:30Z,INTERNAL
AC2300USA,-2752834.7418,-1533597.398,5526823.2554,60.475,-150.878,80.744,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,2021-04-28T00:31Z,TRM59800.99,SCIT,220346564,BPA,0.0083,0,0,2021-04-28T00:30Z,INTERNAL
ACRG00GHA,6347491.377,-22944.8986,622822.4766,5.641,-0.207,83.792,JAVAD TR_G3TH,GPS+GLO+GAL,2021-06-23T09:52Z,JAV_RINGANT_G3T,NONE,325,BAM,0.13,0,0,2017-10-03T12:00Z,INTERNAL
ACSO00USA,595828.9368,-4839735.3204,4097876.7222,40.232,-82.982,249.81,SEPT POLARX5,GPS+GLO+GAL+BDS,2021-09-27T21:01Z,TRM59800.80,SCIT,220375556,BPA,0.0083,0,0,2014-09-13T04:56Z,INTERNAL
ADIS00ETH,4913652.948,3945922.493,995383.145,9.035,38.766,2439.556,JPS LEGACY,GPS+GLO,2008,0,2008-03-11T07:00Z,TRM29659.00,NONE,220173805,BPA,0.001,0,0
AGGO00ARG,2765122.098,-4449250.084,-3626405.34,-34.874,-58.14,42.744,SEPT POLARX5TR,GPS+GLO+GAL+BDS+SBAS+IRNSS,2021-03-29T15:00Z,LEIAR25.R4,LEIT,726722,BPA,0.155,0,0,2016-11-11T10:30Z,EXTERNAL CESIUM 1
AIRA00JPN,-3530185.489,4118797.337,3344036.931,31.824,130.6,315.056,TRIMBLE ALLOY,GPS+GLO+GAL+QZSS,2021-08-16T11:00Z,TRM59800.00,SCIS,4938353451,BPA,0,0,0,2012-08-01T01:00Z,INTERNAL 
AJAC00FRA,4696990,723994,4239678,41.927,8.763,99.2,LEICA GR50,GPS+GLO+GAL+BDS+QZSS+SBAS,2021-12-15T15:00Z,TRM115000.00,NONE,6122223841,BAM,0,0,0,2020-01-21T10:00Z,INTERNAL
ALBH00CAN,-2341332.884,-3539049.509,4745791.36,48.39,-123.487,32.176,SEPT POLARX5,GPS+GLO+GAL,2019-01-16T22:16Z,TRM59800.00,SCIS,5112354071,BPA,0.1,0,0,2015-09-15T19:00Z,EXTERNAL H-MASER
