City,Province,Type,Latitude,Longitude
ADANA,,City,36.98451,35.33368
ADIYAMAN,,City,37.75545,38.27349
AFYONKARAHİSAR,,City,38.75812,30.53685
AĞRI,,City,39.71467,43.04015
AMASYA,,City,40.65157,35.82666
ANKARA,,City,39.93834,32.84785
ANTALYA,,City,36.9071,30.69625
ARTVİN,,City,41.17899,41.84118
AYDIN,,City,37.84074,27.8377
BİLECİK,,City,40.14666,29.98239
BİNGÖL,,City,38.88375,40.48722
BİTLİS,,City,38.39966,42.11696
BOLU,,City,40.74116,31.58541
BURDUR,,City,37.72042,30.28324
BURSA,,City,40.1965,29.05892
ÇANAKKALE,,City,40.1238,26.41927
ÇANKIRI,,City,40.59099,33.61019
ÇORUM,,City,40.55264,34.94865
DİYARBAKIR,,City,37.92408,40.21252
EDİRNE,,City,41.67613,26.54349
ELAZIĞ,,City,38.66775,39.2069
ERZİNCAN,,City,39.74847,39.47915
ERZURUM,,City,39.89821,41.26916
ESKİŞEHİR,,City,39.76853,30.49444
GAZİANTEP,,City,37.06705,37.36819
GİRESUN,,City,40.89198,38.40736
GÜMÜŞHANE,,City,40.45843,39.47826
HAKKARİ,,City,37.57467,43.77777
HATAY,,City,36.19888,36.15889
ISPARTA,,City,37.7831,30.55273
MERSİN,,City,36.82176,34.65442
KARS,,City,40.61782,43.11538
KASTAMONU,,City,41.37001,33.74033
KAYSERİ,,City,38.72229,35.48863
KIRKLARELİ,,City,41.73592,27.21886
KIRŞEHİR,,City,39.14643,34.15977
KOCAELİ,,City,40.78106,29.93813
KONYA,,City,37.84396,32.50443
KÜTAHYA,,City,39.43472,29.99486
MALATYA,,City,38.34699,38.32874
MANİSA,,City,38.62227,27.43366
KAHRAMANMARAŞ,,City,37.57726,36.9277
MARDİN,,City,37.31229,40.73779
MUĞLA,,City,37.20346,28.35162
MUŞ,,City,38.74197,41.49744
NEVŞEHİR,,City,38.6204,34.70958
NİĞDE,,City,37.97004,34.67665
ORDU,,City,40.95363,37.89751
RİZE,,City,41.00995,40.48769
SAKARYA,,City,40.78056,30.39999
SAMSUN,,City,41.2887,36.29387
SİİRT,,City,37.92836,41.93528
SİVAS,,City,39.73847,37.01477
TEKİRDAĞ,,City,40.96786,27.46682
TOKAT,,City,40.31415,36.55247
TRABZON,,City,40.98554,39.68653
TUNCELİ,,City,39.09921,39.54351
ŞANLIURFA,,City,37.15359,38.78604
UŞAK,,City,38.67029,29.40225
VAN,,City,38.49456,43.38323
YOZGAT,,City,39.81411,34.78552
ZONGULDAK,,City,41.44075,31.81232
AKSARAY,,City,38.37285,34.01409
BAYBURT,,City,40.25631,40.22289
KARAMAN,,City,37.18275,33.21599
KIRIKKALE,,City,39.86353,33.49583
BATMAN,,City,37.88786,41.13062
ŞIRNAK,,City,37.52226,42.45676
BARTIN,,City,41.63003,32.32773
ARDAHAN,,City,41.11366,42.70139
IĞDIR,,City,39.91587,44.06226
YALOVA,,City,40.63699,29.25493
KARABÜK,,City,41.18997,32.6065
KİLİS,,City,36.71558,37.11333
OSMANİYE,,City,37.05238,36.26564
DÜZCE,,City,40.80805,31.14011
ADANA,SEYHAN,District,36.99257,35.2732
ADANA,YÜREĞİR,District,36.95687,35.34712
ADANA,ALADAĞ,District,37.54996,35.39295
ADANA,CEYHAN,District,36.99161,35.82259
ADANA,FEKE,District,37.80933,35.90697
ADANA,İMAMOĞLU,District,37.25254,35.66983
ADANA,KARAİSALI,District,37.24929,35.06098
ADANA,KARATAŞ,District,36.58129,35.37737
ADANA,KOZAN,District,37.45718,35.80839
ADANA,POZANTI,District,37.42231,34.87229
ADANA,SAİMBEYLİ,District,37.98553,36.09441
ADANA,TUFANBEYLİ,District,38.25529,36.22069
ADANA,YUMURTALIK,District,36.78552,35.78153
ADANA,SARIÇAM,District,37.05029,35.43882
ADANA,ÇUKUROVA,District,37.06198,35.2276
ADIYAMAN,BESNİ,District,37.69469,37.86232
ADIYAMAN,ÇELİKHAN,District,38.03299,38.23654
ADIYAMAN,GERGER,District,38.02807,39.03418
ADIYAMAN,GÖLBAŞI,District,37.77685,37.63743
ADIYAMAN,KÂHTA,District,37.77509,38.61394
ADIYAMAN,SAMSAT,District,37.58049,38.47562
ADIYAMAN,SİNCİK,District,38.03645,38.61257
ADIYAMAN,TUT,District,37.79818,37.91241
AFYONKARAHİSAR,BAŞMAKÇI,District,37.89875,30.00914
AFYONKARAHİSAR,BAYAT,District,38.98285,30.92197
AFYONKARAHİSAR,BOLVADİN,District,38.70456,31.03929
AFYONKARAHİSAR,ÇAY,District,38.59543,31.02484
AFYONKARAHİSAR,ÇOBANLAR,District,38.70087,30.78257
AFYONKARAHİSAR,DAZKIRI,District,37.92117,29.8612
AFYONKARAHİSAR,DİNAR,District,38.06856,30.16524
AFYONKARAHİSAR,EMİRDAĞ,District,39.01904,31.15069
AFYONKARAHİSAR,EVCİLER,District,38.03778,29.88269
AFYONKARAHİSAR,HOCALAR,District,38.57638,29.96149
AFYONKARAHİSAR,İHSANİYE,District,39.03122,30.41708
AFYONKARAHİSAR,İSCEHİSAR,District,38.85468,30.74918
AFYONKARAHİSAR,KIZILÖREN,District,38.25612,30.15163
AFYONKARAHİSAR,SANDIKLI,District,38.46392,30.27186
AFYONKARAHİSAR,SİNANPAŞA,District,38.74721,30.24504
AFYONKARAHİSAR,SULTANDAĞI,District,38.52827,31.22188
AFYONKARAHİSAR,ŞUHUT,District,38.53303,30.54455
AĞRI,DİYADİN,District,39.54185,43.68016
AĞRI,DOĞUBAYAZIT,District,39.55129,44.07646
AĞRI,ELEŞKİRT,District,39.79803,42.67574
AĞRI,HAMUR,District,39.60859,42.98773
AĞRI,PATNOS,District,39.23396,42.8612
AĞRI,TAŞLIÇAY,District,39.64344,43.37572
AĞRI,TUTAK,District,39.53854,42.76587
AMASYA,GÖYNÜCEK,District,40.39402,35.52593
AMASYA,GÜMÜŞHACIKÖY,District,40.8761,35.21749
AMASYA,HAMAMÖZÜ,District,40.7767,35.01443
AMASYA,MERZİFON,District,40.86174,35.45879
AMASYA,SULUOVA,District,40.82168,35.63607
AMASYA,TAŞOVA,District,40.76139,36.32196
ANKARA,ALTINDAĞ,District,39.93857,32.85882
ANKARA,ÇANKAYA,District,39.89098,32.83864
ANKARA,ETİMESGUT,District,39.91591,32.63148
ANKARA,GÖLBAŞI,District,39.7648,32.81802
ANKARA,KEÇİÖREN,District,40.00271,32.82591
ANKARA,MAMAK,District,39.9384,32.90637
ANKARA,SİNCAN,District,39.94064,32.57568
ANKARA,YENİMAHALLE,District,39.9809,32.76938
ANKARA,AKYURT,District,40.13325,33.08592
ANKARA,AYAŞ,District,40.0168,32.33233
ANKARA,BALA,District,39.55401,33.12479
ANKARA,BEYPAZARI,District,40.16395,31.91813
ANKARA,ÇAMLIDERE,District,40.4917,32.47633
ANKARA,ÇUBUK,District,40.23959,33.02822
ANKARA,ELMADAĞ,District,39.92122,33.2352
ANKARA,EVREN,District,39.0228,33.80692
ANKARA,GÜDÜL,District,40.21068,32.24289
ANKARA,HAYMANA,District,39.43821,32.48974
ANKARA,KALECİK,District,40.10191,33.41944
ANKARA,KAZAN,District,40.20436,32.69095
ANKARA,KIZILCAHAMAM,District,40.46962,32.65549
ANKARA,NALLIHAN,District,40.1864,31.35074
ANKARA,POLATLI,District,39.57476,32.1268
ANKARA,ŞEREFLİKOÇHİSAR,District,38.93962,33.54256
ANKARA,PURSAKLAR,District,40.03542,32.89985
ANTALYA,KEPEZ,District,36.92528,30.72467
ANTALYA,KONYAALTI,District,36.89195,30.63402
ANTALYA,MURATPAŞA,District,36.89665,30.70931
ANTALYA,AKSEKİ,District,37.04634,31.78966
ANTALYA,ALANYA,District,36.55713,31.99699
ANTALYA,ELMALI,District,36.72772,29.92462
ANTALYA,FİNİKE,District,36.2994,30.13284
ANTALYA,GAZİPAŞA,District,36.26779,32.31612
