year,month,day,cases,deaths,country,population2000,countrycode
2022,03,14,36510,9,Austria,8901064,AUT
2022,03,13,34932,9,Austria,8901064,AUT
2022,03,12,38055,13,Austria,8901064,AUT
2022,03,11,44102,18,Austria,8901064,AUT
2022,03,10,50066,17,Austria,8901064,AUT
2022,03,09,50574,16,Austria,8901064,AUT
2022,03,08,51690,16,Austria,8901064,AUT
2022,03,07,34350,27,Austria,8901064,AUT
2022,03,06,26847,18,Austria,8901064,AUT
2022,03,05,27886,26,Austria,8901064,AUT
2022,03,04,31904,29,Austria,8901064,AUT
2022,03,03,32299,28,Austria,8901064,AUT
2022,03,02,31972,28,Austria,8901064,AUT
2022,03,01,41382,32,Austria,8901064,AUT
2022,02,28,27569,27,Austria,8901064,AUT
2022,02,27,21395,27,Austria,8901064,AUT
2022,02,26,22298,26,Austria,8901064,AUT
2022,02,25,25382,34,Austria,8901064,AUT
2022,02,24,30137,26,Austria,8901064,AUT
2022,02,23,28769,23,Austria,8901064,AUT
2022,02,22,35512,26,Austria,8901064,AUT
2022,02,21,23849,27,Austria,8901064,AUT
2022,02,20,21473,19,Austria,8901064,AUT
2022,02,19,21904,23,Austria,8901064,AUT
2022,02,18,25891,19,Austria,8901064,AUT
2022,02,17,30717,25,Austria,8901064,AUT
2022,02,16,31000,22,Austria,8901064,AUT
2022,02,15,38977,26,Austria,8901064,AUT
2022,02,14,26617,28,Austria,8901064,AUT
2022,02,13,24225,18,Austria,8901064,AUT
2022,02,12,25153,30,Austria,8901064,AUT
2022,02,11,29950,29,Austria,8901064,AUT
2022,02,10,33546,21,Austria,8901064,AUT
2022,02,09,35403,15,Austria,8901064,AUT
2022,02,08,39963,14,Austria,8901064,AUT
2022,02,07,28868,24,Austria,8901064,AUT
2022,02,06,26017,17,Austria,8901064,AUT
2022,02,05,30066,21,Austria,8901064,AUT
2022,02,04,33262,16,Austria,8901064,AUT
2022,02,03,36935,22,Austria,8901064,AUT
2022,02,02,33723,17,Austria,8901064,AUT
2022,02,01,44130,11,Austria,8901064,AUT
2022,01,31,27830,11,Austria,8901064,AUT
2022,01,30,26227,15,Austria,8901064,AUT
2022,01,29,29035,12,Austria,8901064,AUT
2022,01,28,33699,18,Austria,8901064,AUT
2022,01,27,37948,15,Austria,8901064,AUT
2022,01,26,35883,9,Austria,8901064,AUT
2022,01,25,38237,10,Austria,8901064,AUT
2022,01,24,26763,12,Austria,8901064,AUT
2022,01,23,25234,15,Austria,8901064,AUT
2022,01,22,23432,8,Austria,8901064,AUT
2022,01,21,26741,14,Austria,8901064,AUT
2022,01,20,29736,5,Austria,8901064,AUT
2022,01,19,25200,11,Austria,8901064,AUT
2022,01,18,28181,5,Austria,8901064,AUT
2022,01,17,18373,5,Austria,8901064,AUT
2022,01,16,16187,9,Austria,8901064,AUT
2022,01,15,14949,8,Austria,8901064,AUT
2022,01,14,17124,11,Austria,8901064,AUT
2022,01,13,16993,4,Austria,8901064,AUT
2022,01,12,16876,8,Austria,8901064,AUT
2022,01,11,16553,9,Austria,8901064,AUT
2022,01,10,12704,11,Austria,8901064,AUT
2022,01,09,10938,12,Austria,8901064,AUT
2022,01,08,10726,7,Austria,8901064,AUT
2022,01,07,7058,9,Austria,8901064,AUT
2022,01,06,8902,6,Austria,8901064,AUT
2022,01,05,8793,8,Austria,8901064,AUT
2022,01,04,10086,10,Austria,8901064,AUT
2022,01,03,5999,16,Austria,8901064,AUT
2022,01,02,3491,10,Austria,8901064,AUT
2022,01,01,3003,8,Austria,8901064,AUT
2021,12,31,3704,11,Austria,8901064,AUT
2021,12,30,3815,24,Austria,8901064,AUT
2021,12,29,3182,14,Austria,8901064,AUT
2021,12,28,3344,16,Austria,8901064,AUT
2021,12,27,2605,18,Austria,8901064,AUT
2021,12,26,1735,15,Austria,8901064,AUT
2021,12,25,1631,15,Austria,8901064,AUT
2021,12,24,2117,9,Austria,8901064,AUT
2021,12,23,2268,17,Austria,8901064,AUT
2021,12,22,2162,15,Austria,8901064,AUT
2021,12,21,2816,21,Austria,8901064,AUT
2021,12,20,1950,18,Austria,8901064,AUT
2021,12,19,1886,28,Austria,8901064,AUT
2021,12,18,1987,23,Austria,8901064,AUT
2021,12,17,2349,25,Austria,8901064,AUT
2021,12,16,2698,26,Austria,8901064,AUT
2021,12,15,2930,29,Austria,8901064,AUT
2021,12,14,4131,41,Austria,8901064,AUT
2021,12,13,2935,40,Austria,8901064,AUT
2021,12,12,3263,34,Austria,8901064,AUT
2021,12,11,3269,32,Austria,8901064,AUT
2021,12,10,4824,44,Austria,8901064,AUT
2021,12,09,3123,44,Austria,8901064,AUT
2021,12,08,4316,51,Austria,8901064,AUT
2021,12,07,6086,54,Austria,8901064,AUT
2021,12,06,4427,45,Austria,8901064,AUT
2021,12,05,4269,42,Austria,8901064,AUT
