city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Istanbul,41.0136,28.9550,Turkey,TR,İstanbul,admin,16079000,15519267
Ankara,39.9300,32.8500,Turkey,TR,Ankara,primary,5503985,5503985
İzmir,38.4200,27.1400,Turkey,TR,İzmir,admin,4320519,4320519
Bursa,40.1833,29.0500,Turkey,TR,Bursa,admin,2901396,2901396
Konya,37.8667,32.4833,Turkey,TR,Konya,admin,2232374,2232374
Mersin,36.8000,34.6333,Turkey,TR,Mersin,admin,1814468,1814468
Adana,37.0000,35.3213,Turkey,TR,Adana,admin,1765981,1765981
Diyarbakır,37.9100,40.2400,Turkey,TR,Diyarbakır,admin,1732396,1732396
Kayseri,38.7225,35.4875,Turkey,TR,Kayseri,admin,1389680,1389680
Samsun,41.2903,36.3336,Turkey,TR,Samsun,admin,1368488,1368488
Balıkesir,39.6333,27.8833,Turkey,TR,Balıkesir,admin,1250610,1250610
Denizli,37.7833,29.0964,Turkey,TR,Denizli,admin,1027782,1027782
Çankaya,39.9244,32.8856,Turkey,TR,Ankara,minor,942553,942553
Keçiören,40.0000,32.8667,Turkey,TR,Ankara,minor,939279,939279
Osmangazi,40.1983,29.0600,Turkey,TR,Bursa,minor,891250,891250
Esenyurt,41.0342,28.6800,Turkey,TR,İstanbul,,891120,891120
Eskişehir,39.7767,30.5206,Turkey,TR,Eskişehir,admin,871187,871187
Seyhan,36.9831,35.3328,Turkey,TR,Adana,minor,795012,795012
Erzurum,39.9086,41.2769,Turkey,TR,Erzurum,admin,767848,767848
Trabzon,41.0050,39.7225,Turkey,TR,Trabzon,admin,758237,758237
Bağcılar,41.0344,28.8564,Turkey,TR,İstanbul,,734369,734369
Umraniye,41.0311,29.1081,Turkey,TR,İstanbul,,732379,732379
Yenimahalle,39.9719,32.8119,Turkey,TR,Ankara,minor,704652,704652
Pendik,40.8747,29.2350,Turkey,TR,İstanbul,minor,693599,693599
Mamak,39.9422,32.9231,Turkey,TR,Ankara,minor,687535,687535
Selçuklu,37.8814,32.4922,Turkey,TR,Konya,minor,648850,648850
Yıldırım,40.1100,29.0821,Turkey,TR,Bursa,minor,643681,643681
Etimesgut,39.9458,32.6694,Turkey,TR,Ankara,minor,614891,614891
Yukarıkaraman,36.9167,30.6833,Turkey,TR,Antalya,,608675,608675
Melikgazi,38.7167,35.5000,Turkey,TR,Kayseri,minor,594344,594344
Sincan,39.9594,32.5767,Turkey,TR,Ankara,minor,572609,572609
Nilüfer,40.2833,28.9500,Turkey,TR,Bursa,minor,536365,536365
Buca,38.3500,27.1667,Turkey,TR,İzmir,minor,522404,522404
Şanlıurfa,37.1583,38.7917,Turkey,TR,Şanlıurfa,admin,482323,482323
Küçükçekmece,41.0000,28.8000,Turkey,TR,İstanbul,minor,469431,326452
Kartal,40.8872,29.1900,Turkey,TR,İstanbul,minor,461155,461155
Bornova,38.4697,27.2211,Turkey,TR,İzmir,minor,454470,454470
Demiryol,37.8870,41.1320,Turkey,TR,Batman,,452157,452157
Erköklü,37.8870,41.1320,Turkey,TR,Batman,,452157,452157
Batman,37.8870,41.1320,Turkey,TR,Batman,admin,445874,445874
Esenler,41.0339,28.8903,Turkey,TR,İstanbul,,444561,444561
Kahramanmaraş,37.5833,36.9333,Turkey,TR,Kahramanmaraş,admin,443575,443575
Kâğıthane,41.0719,28.9664,Turkey,TR,İstanbul,,437026,437026
Avcılar,40.9792,28.7214,Turkey,TR,İstanbul,,435625,435625
Malatya,38.3486,38.3194,Turkey,TR,Malatya,admin,426381,426381
Elazığ,38.6744,39.2228,Turkey,TR,Elazığ,admin,421726,421726
Altındağ,39.9636,32.9033,Turkey,TR,Ankara,minor,413994,413994
Kocasinan,38.7333,35.4833,Turkey,TR,Kayseri,minor,409005,409005
Bağlar,37.9167,40.1833,Turkey,TR,Diyarbakır,minor,406471,406471
Yüreğir,36.9981,35.3439,Turkey,TR,Adana,minor,404726,404726
Manisa,38.6144,27.4292,Turkey,TR,Manisa,admin,385452,36431
Hatay,36.2025,36.1606,Turkey,TR,Hatay,admin,377793,377793
Gaziantep,37.0628,37.3792,Turkey,TR,Gaziantep,admin,374290,374290
Gebze,40.8000,29.4333,Turkey,TR,Kocaeli,minor,371000,371000
Sivas,39.7500,37.0167,Turkey,TR,Sivas,admin,365274,365274
Alanya,36.5500,32.0000,Turkey,TR,Antalya,minor,364180,364180
Kocaeli,40.7625,29.9175,Turkey,TR,Kocaeli,admin,363416,363416
Kayapınar,37.9500,40.1667,Turkey,TR,Diyarbakır,minor,362407,362407
Konak,38.4189,27.1285,Turkey,TR,İzmir,minor,356563,356563
Van,38.4942,43.3800,Turkey,TR,Van,admin,353419,353419
Pamukkale,37.9167,29.1167,Turkey,TR,Denizli,,347926,347926
Karşıyaka,38.4594,27.1153,Turkey,TR,İzmir,minor,346264,346264
Sarıyer,41.1669,29.0572,Turkey,TR,İstanbul,minor,342503,342503
Meram,37.8364,32.4383,Turkey,TR,Konya,minor,342315,342315
Beylikdüzü,41.0011,28.6419,Turkey,TR,İstanbul,,331525,331525
Sultanbeyli,40.9683,29.2617,Turkey,TR,İstanbul,,327798,327798
Yeşilyurt,38.2961,38.2489,Turkey,TR,Malatya,minor,304839,304839
Afyonkarahisar,38.7578,30.5386,Turkey,TR,Afyonkarahisar,admin,299673,299673
Battalgazi,38.4228,38.3656,Turkey,TR,Malatya,minor,295821,295821
Güngören,41.0225,28.8717,Turkey,TR,İstanbul,,289331,289331
Sakarya,40.7833,30.4000,Turkey,TR,Sakarya,admin,281489,281489
İnegöl,40.0806,29.5097,Turkey,TR,Bursa,minor,281384,268155
Çorlu,41.1500,27.8000,Turkey,TR,Tekirdağ,minor,279251,279251
Arnavutköy,41.1856,28.7406,Turkey,TR,İstanbul,,270549,270549
Bayat,40.5455,34.9570,Turkey,TR,Çorum,,269595,269595
Adıyaman,37.7639,38.2778,Turkey,TR,Adıyaman,admin,267131,267131
Kütahya,39.4167,29.9833,Turkey,TR,Kütahya,admin,266784,266784
Osmaniye,37.0750,36.2500,Turkey,TR,Osmaniye,admin,264373,264373
Aydın,37.8481,27.8453,Turkey,TR,Aydın,admin,259027,259027
