site,mjd,lon,lat,ellh,zhd,zwd,ztd
ADAN,58849.0,35.343713346111116,37.003499327777774,60.5178,2.3155795491873614,0.08615807641271479,2.4017376256000764
DIYB,58849.0,40.18749263222221,37.954416830555566,773.6755,2.125731949950385,0.0577106495339179,2.183442599484303
IZMI,58849.0,27.08182221361111,38.394807905,74.935,2.3092320977026333,0.0894856086980201,2.3987177064006535
ISPT,58849.0,30.56697776888889,37.78508936833333,1032.1306,2.0578972712686014,0.056165470404576735,2.114062741673178
ERZR,58849.0,41.255465694166666,39.905608304444435,1915.0094,1.845865014256192,0.032836210077497506,1.8787012243336896
KAYS,58849.0,35.524460878055564,38.708372088888886,1138.7758,2.0333565742260555,0.05034573910923749,2.083702313335293
SAM1,58849.0,36.33376249222223,41.30849344638889,53.3696,2.3161499813518405,0.0739303464040441,2.3900803277558844
ISTA,58849.0,29.01900000000000,41.10400000000000,147.000000,2.3161499813518405,0.0739303464040441,2.3900803277558844
ANKR,58849.0,32.75900000000000,39.88800000000000,975.000000,2.3161499813518405,0.0739303464040441,2.3900803277558844

